"Time_Iter";"Outer_Iter";"Inner_Iter";    "rms[Rho]"    ;    "rms[RhoU]"   ;    "rms[RhoV]"   ;    "rms[RhoE]"   
          0;           0;         261;     -0,9615113807;       1,955640264;       1,619821089;       4,828137799
          0;           0;         262;      -0,974533257;       1,971942532;       1,521418992;       4,815946776
          0;           0;         263;       -0,95279501;       1,970213171;       1,627993995;       4,837852732
          0;           0;         264;     -0,9708332662;       1,976314436;       1,526573749;       4,818466694
          0;           0;         265;     -0,9604829263;       1,957774203;       1,615086659;       4,829283313
          0;           0;         266;     -0,9779907201;       1,966609079;        1,52009418;       4,814553952
          0;           0;         267;     -0,9421441905;       1,981902756;       1,635091801;       4,845084201
          0;           0;         268;     -0,9737195641;       1,966317258;       1,546350923;       4,818036938
          0;           0;         269;     -0,9593402739;       1,957061631;       1,623808917;       4,832002246
          0;           0;         270;     -0,9787173595;       1,958627762;       1,541650968;       4,813967638
          0;           0;         271;     -0,9471079022;       1,972385964;       1,641759597;       4,842182945
          0;           0;         272;     -0,9750378049;       1,960336171;       1,560363486;       4,817072286
          0;           0;         273;     -0,9546724599;       1,962440843;       1,632536099;        4,83365883
          0;           0;         274;     -0,9850742932;       1,948524555;       1,540955964;       4,807702069
          0;           0;         275;     -0,9348956508;       1,993539123;       1,635379584;       4,849644251
          0;           0;         276;     -0,9791200409;        1,95868283;       1,542697933;       4,812213061
          0;           0;         277;     -0,9472147279;       1,973719634;       1,636606609;       4,840298267
          0;           0;         278;     -0,9851810833;       1,952541659;       1,522063048;       4,806233971
          0;           0;         279;     -0,9479839387;       1,974366829;       1,625592704;       4,838483612
          0;           0;         280;      -0,958681841;       1,989627182;       1,536426108;       4,827112394
          0;           0;         281;      -0,951686639;       1,965263994;       1,635646416;       4,836548385
          0;           0;         282;     -0,9782189613;       1,960673235;       1,535127726;       4,813076835
          0;           0;         283;     -0,9502693258;       1,967577764;       1,635037156;       4,838807655
          0;           0;         284;      -0,981183065;       1,952700159;       1,545580038;       4,811279246
          0;           0;         285;     -0,9403360306;       1,981675982;       1,640979755;       4,845826022
          0;           0;         286;     -0,9830218847;       1,951012753;       1,543427363;        4,81050984
          0;           0;         287;     -0,9488774158;       1,968598374;        1,63801037;       4,838573906
          0;           0;         288;      -0,964343376;        1,97677359;       1,559644277;       4,826096754
          0;           0;         289;     -0,9485939697;       1,972099709;       1,636777599;       4,840610849
          0;           0;         290;     -0,9554349339;       1,991267478;       1,556455065;       4,831765705
          0;           0;         291;     -0,9511964036;       1,970154122;       1,626442035;         4,8376095
          0;           0;         292;     -0,9825149355;       1,956781493;       1,526821288;       4,808647721
          0;           0;         293;     -0,9541319773;       1,967104366;       1,621285947;       4,834412853
          0;           0;         294;     -0,9729179903;       1,976102542;       1,519196514;       4,819375186
          0;           0;         295;      -0,958549454;       1,962151636;       1,616015595;       4,831633605
          0;           0;         296;      -0,983265834;       1,959261691;       1,512243026;       4,807948546
          0;           0;         297;     -0,9535581943;       1,967468526;       1,620485341;       4,834342346
          0;           0;         298;     -0,9714640834;       1,973995992;       1,527010705;       4,818244328
          0;           0;         299;     -0,9490147684;       1,974499281;       1,622742336;       4,838639244
          0;           0;         300;     -0,9593670545;       1,989108004;       1,541220148;       4,829652707
          0;           0;         301;      -0,934200695;       1,992922608;       1,642748929;       4,852582491
          0;           0;         302;     -0,9587692272;       1,984153853;       1,564090716;       4,830017703
          0;           0;         303;     -0,9427528039;       1,975706946;       1,648275452;       4,844031131
          0;           0;         304;     -0,9719266518;       1,962796429;        1,56306568;       4,819455639
          0;           0;         305;     -0,9516037952;       1,963205818;       1,641388146;       4,836976019
          0;           0;         306;     -0,9682325466;       1,968589914;       1,565230195;       4,822518567
          0;           0;         307;     -0,9555004977;       1,962504708;       1,630304748;       4,833836817
          0;           0;         308;     -0,9842809482;       1,953773469;       1,525917738;       4,808864398
          0;           0;         309;     -0,9627913421;       1,953103436;       1,621329339;       4,826967618
          0;           0;         310;     -0,9804061396;       1,961611766;        1,52109558;       4,809280245
          0;           0;         311;     -0,9644240313;       1,950192506;       1,618342193;       4,823893305
          0;           0;         312;     -0,9869001237;       1,954497405;       1,504178241;       4,803478948
          0;           0;         313;     -0,9655483543;       1,947369798;       1,621432369;        4,82470892
